ass.name,study,biome,latitude,longitude,abs_latitude,median_betaMPD,median_betaSESMPD,median_betaMNTD,median_betaSR,median_betaJacc,median_betaPhyloSor,median_betaCTI,SST_mean,betaSST_lm
210_543079,210,Temperate_Northern_Atlantic,57.73452691,5.078333971,57.73452691,0.000770876,-0.000122592,0.00801029,0.010557006,0.018665003,0.025564551,0.032572232,9.992759535,0.614744257
210_543080,210,Temperate_Northern_Atlantic,57.71559757,5.229816329,57.71559757,0.003894324,0.005325146,0.007860232,0.013346623,0.019148655,0.009485416,0.033091615,9.84312973,0.436221985
210_543095,210,Temperate_Northern_Atlantic,57.43825802,7.606207855,57.43825802,-0.001282653,-0.003103441,0.011062028,0.011640949,0.010407065,0.015593248,0.01429205,9.547515578,0.208969388
210_543100,210,Temperate_Northern_Atlantic,57.37185778,8.563576968,57.37185778,0.000188586,0.0009576,0.008735034,0.005957636,-0.000312715,0.010494753,0.025957946,9.855177816,0.303678071
210_543103,210,Temperate_Northern_Atlantic,57.32876298,9.135773716,57.32876298,0.002066551,0.002549714,0.007069501,0.013681899,0.015276386,0.018031564,0.04207103,10.3027853,0.599848266
210_543759,210,Temperate_Northern_Atlantic,58.34742543,-2.693490113,58.34742543,0.000383445,0.001748065,0.012658413,0.006726868,0.018888037,0.001151844,0.057916884,9.545711153,0.353545236
210_543760,210,Temperate_Northern_Atlantic,58.33793132,-2.533119167,58.33793132,-0.000819099,-0.002253281,0.012335475,0.00372125,0.019468445,0.017705848,0.03788083,9.676287164,0.438932582
210_543766,210,Temperate_Northern_Atlantic,58.27674282,-1.574083149,58.27674282,0.001346743,0.003136862,0.005443852,0.004262976,0.018787008,0.02195532,0.032812936,9.647428385,0.302817705
210_543767,210,Temperate_Northern_Atlantic,58.26584487,-1.414792638,58.26584487,0.002649552,0.006879044,0.013301568,0.010159916,0.016934982,0.02353385,0.054783102,9.646263724,0.587624064
210_543772,210,Temperate_Northern_Atlantic,58.20838287,-0.620800481,58.20838287,-8.94E-05,-0.000749097,0.009951137,0.00757718,0.017010478,-0.003412051,0.041459408,9.766231283,0.306305676
210_543773,210,Temperate_Northern_Atlantic,58.19629928,-0.462506483,58.19629928,0.001147677,0.000715912,0.009961743,0.011354568,0.004731033,0.009148954,0.040771846,9.761805329,0.390902919
210_543776,210,Temperate_Northern_Atlantic,58.15887467,0.011335461,58.15887467,0.000522968,0.000901813,0.014200589,0.00631931,0.025875414,0.008293468,0.03145024,9.803821047,0.478099304
210_543794,210,Temperate_Northern_Atlantic,57.89804178,2.819347537,57.89804178,0.002105343,0.000175308,0.016899362,0.004320055,0.010289957,0.005960767,0.015216184,9.782165527,0.510024152
210_543795,210,Temperate_Northern_Atlantic,57.88176323,2.973477913,57.88176323,0.001008828,0.001358265,0.010477312,0.013245199,0.007700167,0.037323458,0.035136962,9.951074219,0.564669303
210_543796,210,Temperate_Northern_Atlantic,57.86530005,3.127401515,57.86530005,0.003114312,0.005052363,0.011832091,0.00203928,0.021869377,0.005844393,0.037000032,9.893921055,0.627557479
210_543797,210,Temperate_Northern_Atlantic,57.84865279,3.281116931,57.84865279,0.001024011,0.001961933,0.008626179,0.007596988,0.012854765,0.026112454,0.029608864,9.952637881,0.984129857
210_543798,210,Temperate_Northern_Atlantic,57.831822,3.434622764,57.831822,0.000467166,0.000740811,0.010917883,0.001583081,0.005588515,0.003634013,0.014327422,9.689665095,0.535394675
210_543805,210,Temperate_Northern_Atlantic,57.7089147,4.503180981,57.7089147,0.001763115,0.002484176,0.01012973,0.010203066,0.021951729,0.014707588,0.024317989,9.804279973,0.303285761
210_543806,210,Temperate_Northern_Atlantic,57.6906359,4.654961601,57.6906359,0.000347326,0.000285252,0.004818977,0.010916635,0.008429512,0.021418243,0.022520437,9.825320835,0.458683905
210_543807,210,Temperate_Northern_Atlantic,57.67217865,4.806520718,57.67217865,0.000586523,-0.000305209,0.007689191,0.007211613,0.016161782,0.026582469,0.024131864,10.1069912,0.670312107
210_543809,210,Temperate_Northern_Atlantic,57.63473115,5.108969449,57.63473115,0.007032358,0.010171706,0.012904007,0.011890116,0.003344073,0.001073075,0.025026829,9.703235154,0.5285678
210_543830,210,Temperate_Northern_Atlantic,57.28868118,8.669135097,57.28868118,0.000320574,-0.000673481,0.008597394,0.011190077,0.037139982,0.032610915,0.052239853,9.997229818,0.533720175
210_544486,210,Temperate_Northern_Atlantic,58.27926673,-3.114258846,58.27926673,0.001281127,0.002091558,0.015167607,0.006465653,0.025462143,0.027446894,0.04091519,9.385647357,0.302594221
210_544490,210,Temperate_Northern_Atlantic,58.24208274,-2.474177002,58.24208274,0.001045583,0.002393911,0.008372062,0.008129931,0.006692992,0.011205201,0.034017017,9.640064956,0.423528187
210_544496,210,Temperate_Northern_Atlantic,58.18028536,-1.518583444,58.18028536,0.000878183,0.001588257,0.009403043,0.01348512,0.015388421,0.021178849,0.050754804,9.533468289,0.403854521
210_544500,210,Temperate_Northern_Atlantic,58.13511418,-0.884710725,58.13511418,0.001144805,0.002063108,0.010301804,0.010355378,0.011696305,0.019494084,0.032250512,9.474003092,1.463144234
210_544501,210,Temperate_Northern_Atlantic,58.12332896,-0.72665755,58.12332896,0.001624495,0.003120649,0.014732216,0.012140398,0.015015147,0.022573042,0.062424025,9.928295085,0.443735653
210_544505,210,Temperate_Northern_Atlantic,58.07423254,-0.096156801,58.07423254,-2.57E-05,-0.000529031,0.014066624,0.002403245,0.023934935,0.022080837,0.033896197,9.977619425,0.590992741
210_544506,210,Temperate_Northern_Atlantic,58.06147195,0.061031903,58.06147195,0.000550528,0.000657083,0.008869227,0.007192251,0.02518581,0.0209389,0.022240012,9.907868958,0.654266244
